Field Name:,Period,HaulID,StartLatitude,StartLongitude,FishID,Species,SamplingApproach,FishLength,LenMeasType,FishWeight,Sex,MaturityScale (2),MaturityStage (2),Age,AgeSource,AgePrepMet,AgeID,letter,OvaryID,OvaryWeight,OvaryWeightMethod,SubSampleVol,Notes,Screening,method
AZTI,3,1,46.75,-4.89,1,MAC,R,38,1,374.8,F,Walsh 1990,3,6,O,ALR,1,K,K001,26.3,Fresh,2X50 and 2x100,,Y,DEPM
AZTI,3,1,46.75,-4.89,2,MAC,R,40.4,1,485.2,F,Walsh 1990,3,12,O,ALR,2,K,K002,43.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,3,MAC,R,37.4,1,367.6,F,Walsh 1990,3,7,O,ALR,3,K,K003,36,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,4,MAC,R,40.4,1,464,F,Walsh 1990,3,13,O,ALR,4,K,K004,47.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,5,MAC,R,38.6,1,416,F,Walsh 1990,3,9,O,ALR,5,K,K005,30.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,6,MAC,R,38.1,1,359.8,F,Walsh 1990,4,8,O,ALR,6,K,K006,38.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,7,MAC,R,38.3,1,420.6,F,Walsh 1990,3,10,O,ALR,7,K,K007,43.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,8,MAC,R,41.1,1,492,F,Walsh 1990,3,10,O,ALR,8,K,K008,39.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,9,MAC,R,39.1,1,455.4,F,Walsh 1990,3,8,O,ALR,9,K,K009,33.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,10,MAC,R,38.7,1,415,F,Walsh 1990,3,9,O,ALR,10,K,K010,47.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,11,MAC,R,38.8,1,463.4,F,Walsh 1990,3,11,O,ALR,11,K,K011,40.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,12,MAC,R,39.7,1,432.6,F,Walsh 1990,3,8,O,ALR,12,K,K012,52.9,Fresh,2X50 and 2x100,,Y,
