Sample_ref,SurveyPeriod,Institute_H,Oocyte_stage_H,Hydration_state,Egg_stage_H,POF_H,Spent_H,Massive_atr_H,Early_alpha_H,Discard_H,Comment_H,Fecundity_H,Spawn_marker_H,Spawning_H,Spawn_atretic_H,Batch_fec_H,Age,CalendarDay,Country,FishLength,FishWeight,Maturity Walsh,Maturity WKMATCH 2012 revised,OvaryWeight,SamplingApproach,StartLatitude,StartLongitude
A001,3,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,39,421,3,,13.2,R,52.2513,-11.35
A002,3,WMR,3,0,0,0,0,0,0,0,Beta atresia (marked),yes,no,no,no,no,,73,IE,40,437,3,,20,R,52.2513,-11.35
A003,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,38,427,3,,17.1,R,52.2513,-11.35
A004,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,39,439,3,,32.4,R,52.2513,-11.35
A005,3,DTU,3,0,0,0,0,0,1,0,Longitudinal section,yes,no,no,no,no,,73,IE,32,239,3,,7.4,R,52.2513,-11.35
A006,3,IMR,2,0,0,0,0,0,0,0,,no,no,no,no,no,,73,IE,27,128,2,,1.4,R,52.2513,-11.35
A007,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,34,287,3,,20.5,R,52.2513,-11.35
A008,3,AZTI,2,0,0,0,0,0,0,0,,no,no,no,no,no,,73,IE,38,377,3,,12.1,R,52.2513,-11.35
A009,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,37,373,3,,22.1,R,52.2513,-11.35
A010,3,DTU,3,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,73,IE,37,363,3,,16.6,R,52.2513,-11.35
A011,3,IMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,,73,IE,35,361,3,,27.2,R,52.2513,-11.35
